0_X座標, 0_Y座標, 0_Z座標, 0_X回転, 0_Y回転, 0_Z回転, 1_X座標, 1_Y座標, 1_Z座標, 1_X回転, 1_Y回転, 1_Z回転, 2_X座標, 2_Y座標, 2_Z座標, 2_X回転, 2_Y回転, 2_Z回転, 3_X座標, 3_Y座標, 3_Z座標, 3_X回転, 3_Y回転, 3_Z回転, 4_X座標, 4_Y座標, 4_Z座標, 4_X回転, 4_Y回転, 4_Z回転, 5_X座標, 5_Y座標, 5_Z座標, 5_X回転, 5_Y回転, 5_Z回転, 6_X座標, 6_Y座標, 6_Z座標, 6_X回転, 6_Y回転, 6_Z回転, 7_X座標, 7_Y座標, 7_Z座標, 7_X回転, 7_Y回転, 7_Z回転, 8_X座標, 8_Y座標, 8_Z座標, 8_X回転, 8_Y回転, 8_Z回転, 9_X座標, 9_Y座標, 9_Z座標, 9_X回転, 9_Y回転, 9_Z回転, 10_X座標, 10_Y座標, 10_Z座標, 10_X回転, 10_Y回転, 10_Z回転, 11_X座標, 11_Y座標, 11_Z座標, 11_X回転, 11_Y回転, 11_Z回転, 12_X座標, 12_Y座標, 12_Z座標, 12_X回転, 12_Y回転, 12_Z回転, 13_X座標, 13_Y座標, 13_Z座標, 13_X回転, 13_Y回転, 13_Z回転, 14_X座標, 14_Y座標, 14_Z座標, 14_X回転, 14_Y回転, 14_Z回転, 15_X座標, 15_Y座標, 15_Z座標, 15_X回転, 15_Y回転, 15_Z回転, 16_X座標, 16_Y座標, 16_Z座標, 16_X回転, 16_Y回転, 16_Z回転, 17_X座標, 17_Y座標, 17_Z座標, 17_X回転, 17_Y回転, 17_Z回転, 18_X座標, 18_Y座標, 18_Z座標, 18_X回転, 18_Y回転, 18_Z回転, 19_X座標, 19_Y座標, 19_Z座標, 19_X回転, 19_Y回転, 19_Z回転, 20_X座標, 20_Y座標, 20_Z座標, 20_X回転, 20_Y回転, 20_Z回転, 21_X座標, 21_Y座標, 21_Z座標, 21_X回転, 21_Y回転, 21_Z回転, 22_X座標, 22_Y座標, 22_Z座標, 22_X回転, 22_Y回転, 22_Z回転, 23_X座標, 23_Y座標, 23_Z座標, 23_X回転, 23_Y回転, 23_Z回転, 24_X座標, 24_Y座標, 24_Z座標, 24_X回転, 24_Y回転, 24_Z回転, 25_X座標, 25_Y座標, 25_Z座標, 25_X回転, 25_Y回転, 25_Z回転, 26_X座標, 26_Y座標, 26_Z座標, 26_X回転, 26_Y回転, 26_Z回転
0.000000 ,90.596600 ,0.000000 ,-0.000000 ,0.000000 ,-0.000000 ,0.000000 ,4.931890 ,-1.118100 ,-0.000000 ,0.000000 ,-0.000000 ,0.000000 ,5.454280 ,1.040460 ,-0.000000 ,0.000000 ,-0.000000 ,-0.000000 ,5.816660 ,0.111686 ,-0.000000 ,0.000000 ,-0.000000 ,-0.000000 ,6.317800 ,-0.430704 ,-0.000000 ,0.000000 ,-0.000000 ,-0.000000 ,7.385670 ,-1.462400 ,-0.000000 ,0.000000 ,-0.000000 ,-0.000000 ,9.222880 ,-0.888062 ,-0.000000 ,0.000000 ,-0.000000 ,-0.000000 ,10.246400 ,1.531330 ,-0.000000 ,0.000000 ,-0.000000 ,-0.000000 ,4.648110 ,0.694664 ,-0.000000 ,0.000000 ,-0.000000 ,-0.000000 ,4.681750 ,0.409600 ,-0.000000 ,0.000000 ,-0.000000 ,-0.000000 ,4.690800 ,0.742950 ,-0.000000 ,0.000000 ,-0.000000 ,1.197360 ,-7.387440 ,7.316010 ,-0.000000 ,0.000000 ,-0.000000 ,12.580300 ,3.155590 ,-3.174250 ,-0.000000 ,0.000000 ,-0.000000 ,28.363900 ,0.058079 ,0.133078 ,-0.000000 ,0.000000 ,-0.000000 ,23.533500 ,0.048188 ,0.110415 ,-0.000000 ,0.000000 ,-0.000000 ,-1.197360 ,-7.387430 ,7.315910 ,-0.000000 ,0.000000 ,-0.000000 ,-12.580300 ,3.155590 ,-3.174250 ,-0.000000 ,0.000000 ,-0.000000 ,-28.363900 ,0.058079 ,0.133078 ,-0.000000 ,0.000000 ,-0.000000 ,-23.533500 ,0.048188 ,0.110415 ,-0.000000 ,0.000000 ,-0.000000 ,8.969780 ,-4.084010 ,1.973950 ,-0.000000 ,0.000000 ,-0.000000 ,-0.827718 ,-37.651500 ,-0.636250 ,-0.000000 ,0.000000 ,-0.000000 ,-2.258990 ,-39.234100 ,-5.873930 ,-0.000000 ,0.000000 ,-0.000000 ,0.756579 ,-9.598720 ,12.134800 ,-0.000000 ,0.000000 ,-0.000000 ,-8.969780 ,-4.084010 ,1.973950 ,-0.000000 ,0.000000 ,-0.000000 ,0.827718 ,-37.651500 ,-0.636250 ,-0.000000 ,0.000000 ,-0.000000 ,2.258990 ,-39.234100 ,-5.873930 ,-0.000000 ,0.000000 ,-0.000000 ,-0.756579 ,-9.598720 ,12.134800 ,-0.000000 ,0.000000 ,-0.000000
21.386700 ,90.548800 ,21.331500 ,-4.243310 ,18.122800 ,0.703724 ,0.000000 ,4.931890 ,-1.118100 ,-3.206100 ,6.985990 ,0.897742 ,0.000000 ,5.454280 ,1.040460 ,-2.994490 ,5.771590 ,0.545340 ,-0.000000 ,5.816660 ,0.111686 ,-2.707660 ,5.309810 ,0.482736 ,-0.000000 ,6.317800 ,-0.430704 ,-2.493570 ,4.537320 ,0.398549 ,-0.000000 ,7.385670 ,-1.462400 ,-2.111680 ,3.423440 ,0.738133 ,-0.000000 ,9.222880 ,-0.888062 ,-1.545610 ,2.906370 ,1.111950 ,-0.000000 ,10.246400 ,1.531330 ,-0.025660 ,0.061838 ,0.009203 ,-0.000000 ,4.648110 ,0.694664 ,-2.881060 ,6.592890 ,27.420000 ,-0.000000 ,4.681750 ,0.409600 ,-12.142900 ,-9.038180 ,11.739500 ,-0.000000 ,4.690800 ,0.742950 ,-14.725100 ,-10.330100 ,5.902290 ,1.197360 ,-7.387440 ,7.316010 ,16.421500 ,-3.676990 ,-0.153825 ,12.580300 ,3.155590 ,-3.174250 ,-66.432500 ,-30.028500 ,-43.052800 ,28.363900 ,0.058079 ,0.133078 ,7.070210 ,-2.281670 ,-36.327200 ,23.533500 ,0.048188 ,0.110415 ,-0.852368 ,46.108300 ,0.530184 ,-1.197360 ,-7.387430 ,7.315910 ,-0.635102 ,2.776960 ,0.968484 ,-12.580300 ,3.155590 ,-3.174250 ,76.603100 ,8.532020 ,5.524410 ,-28.363900 ,0.058079 ,0.133078 ,-5.096510 ,-1.118060 ,25.325700 ,-23.533500 ,0.048188 ,0.110415 ,1.491620 ,-37.994700 ,4.359510 ,8.969780 ,-4.084010 ,1.973950 ,5.620710 ,-29.250100 ,-10.911100 ,-0.827718 ,-37.651500 ,-0.636250 ,-2.390050 ,8.892410 ,0.030329 ,-2.258990 ,-39.234100 ,-5.873930 ,-0.640073 ,-1.528490 ,15.205400 ,0.756579 ,-9.598720 ,12.134800 ,0.000000 ,-0.000000 ,0.000000 ,-8.969780 ,-4.084010 ,1.973950 ,-2.085640 ,-17.141900 ,25.898400 ,0.827718 ,-37.651500 ,-0.636250 ,1.249200 ,4.663960 ,0.030576 ,2.258990 ,-39.234100 ,-5.873930 ,7.402740 ,-1.972070 ,-16.505800 ,-0.756579 ,-9.598720 ,12.134800 ,-0.000000 ,-0.000000 ,-0.000000
20.921400 ,90.537600 ,21.008400 ,-4.238850 ,18.036100 ,0.821124 ,0.000000 ,4.931890 ,-1.118100 ,-3.159740 ,6.868090 ,0.938790 ,0.000000 ,5.454280 ,1.040460 ,-2.967810 ,5.685710 ,0.590322 ,-0.000000 ,5.816660 ,0.111686 ,-2.694330 ,5.257730 ,0.527705 ,-0.000000 ,6.317800 ,-0.430704 ,-2.494010 ,4.535370 ,0.444410 ,-0.000000 ,7.385670 ,-1.462400 ,-2.109590 ,3.440510 ,0.783683 ,-0.000000 ,9.222880 ,-0.888062 ,-1.541570 ,2.920910 ,1.151620 ,-0.000000 ,10.246400 ,1.531330 ,-0.026420 ,0.060332 ,0.009512 ,-0.000000 ,4.648110 ,0.694664 ,-2.957710 ,6.707190 ,27.102100 ,-0.000000 ,4.681750 ,0.409600 ,-12.073200 ,-9.086250 ,11.612900 ,-0.000000 ,4.690800 ,0.742950 ,-14.588100 ,-10.473100 ,5.853810 ,1.197360 ,-7.387440 ,7.316010 ,16.704000 ,-3.862110 ,0.015490 ,12.580300 ,3.155590 ,-3.174250 ,-67.126200 ,-31.098900 ,-43.183000 ,28.363900 ,0.058079 ,0.133078 ,7.427300 ,-2.551530 ,-38.468700 ,23.533500 ,0.048188 ,0.110415 ,-0.951630 ,42.779100 ,0.413722 ,-1.197360 ,-7.387430 ,7.315910 ,-0.557142 ,2.750180 ,0.902453 ,-12.580300 ,3.155590 ,-3.174250 ,76.511900 ,8.371300 ,5.483800 ,-28.363900 ,0.058079 ,0.133078 ,-5.076510 ,-1.108740 ,25.219800 ,-23.533500 ,0.048188 ,0.110415 ,1.623820 ,-38.024700 ,4.321530 ,8.969780 ,-4.084010 ,1.973950 ,5.941220 ,-29.193800 ,-10.370100 ,-0.827718 ,-37.651500 ,-0.636250 ,-2.299260 ,8.558170 ,0.022392 ,-2.258990 ,-39.234100 ,-5.873930 ,-0.966615 ,-1.356180 ,15.212000 ,0.756579 ,-9.598720 ,12.134800 ,0.000000 ,-0.000000 ,0.000000 ,-8.969780 ,-4.084010 ,1.973950 ,-1.886960 ,-17.134400 ,25.164300 ,0.827718 ,-37.651500 ,-0.636250 ,1.215850 ,4.539630 ,0.031082 ,2.258990 ,-39.234100 ,-5.873930 ,7.230810 ,-2.202340 ,-16.453000 ,-0.756579 ,-9.598720 ,12.134800 ,-0.000000 ,-0.000000 ,-0.000000
20.414700 ,90.472800 ,20.660600 ,-4.170400 ,17.875800 ,0.978266 ,0.000000 ,4.931890 ,-1.118100 ,-3.146370 ,6.794990 ,0.995860 ,0.000000 ,5.454280 ,1.040460 ,-2.972900 ,5.627870 ,0.649162 ,-0.000000 ,5.816660 ,0.111686 ,-2.707170 ,5.218720 ,0.587893 ,-0.000000 ,6.317800 ,-0.430704 ,-2.514830 ,4.521660 ,0.507575 ,-0.000000 ,7.385670 ,-1.462400 ,-2.117130 ,3.427100 ,0.850610 ,-0.000000 ,9.222880 ,-0.888062 ,-1.535860 ,2.891830 ,1.215130 ,-0.000000 ,10.246400 ,1.531330 ,-0.026284 ,0.059242 ,0.010571 ,-0.000000 ,4.648110 ,0.694664 ,-3.034500 ,6.851760 ,26.770400 ,-0.000000 ,4.681750 ,0.409600 ,-11.980200 ,-9.203770 ,11.490800 ,-0.000000 ,4.690800 ,0.742950 ,-14.303500 ,-10.643000 ,5.790500 ,1.197360 ,-7.387440 ,7.316010 ,16.916100 ,-3.981510 ,0.234047 ,12.580300 ,3.155590 ,-3.174250 ,-67.476800 ,-31.663400 ,-43.088200 ,28.363900 ,0.058079 ,0.133078 ,7.811890 ,-2.866650 ,-40.845900 ,23.533500 ,0.048188 ,0.110415 ,-1.114410 ,39.787100 ,0.258279 ,-1.197360 ,-7.387430 ,7.315910 ,-0.457915 ,2.757170 ,0.816853 ,-12.580300 ,3.155590 ,-3.174250 ,76.480200 ,8.272710 ,5.405390 ,-28.363900 ,0.058079 ,0.133078 ,-5.029710 ,-1.087120 ,24.972100 ,-23.533500 ,0.048188 ,0.110415 ,1.769240 ,-38.054500 ,4.303440 ,8.969780 ,-4.084010 ,1.973950 ,6.175630 ,-29.089300 ,-9.952220 ,-0.827718 ,-37.651500 ,-0.636250 ,-2.215370 ,8.248870 ,0.015530 ,-2.258990 ,-39.234100 ,-5.873930 ,-1.269370 ,-1.332240 ,15.229700 ,0.756579 ,-9.598720 ,12.134800 ,0.000000 ,-0.000000 ,0.000000 ,-8.969780 ,-4.084010 ,1.973950 ,-1.818710 ,-17.069000 ,22.987700 ,0.827718 ,-37.651500 ,-0.636250 ,1.232550 ,4.601900 ,0.030838 ,2.258990 ,-39.234100 ,-5.873930 ,6.894900 ,-2.715480 ,-16.340600 ,-0.756579 ,-9.598720 ,12.134800 ,-0.000000 ,-0.000000 ,-0.000000
19.903300 ,90.336400 ,20.252900 ,-4.033870 ,17.585000 ,1.089320 ,0.000000 ,4.931890 ,-1.118100 ,-3.112130 ,6.788560 ,1.042340 ,0.000000 ,5.454280 ,1.040460 ,-2.959160 ,5.612850 ,0.702178 ,-0.000000 ,5.816660 ,0.111686 ,-2.703770 ,5.196490 ,0.643912 ,-0.000000 ,6.317800 ,-0.430704 ,-2.522310 ,4.482990 ,0.566521 ,-0.000000 ,7.385670 ,-1.462400 ,-2.115180 ,3.368810 ,0.909974 ,-0.000000 ,9.222880 ,-0.888062 ,-1.521280 ,2.809310 ,1.270160 ,-0.000000 ,10.246400 ,1.531330 ,-0.025901 ,0.059750 ,0.011953 ,-0.000000 ,4.648110 ,0.694664 ,-3.078710 ,6.963140 ,26.547300 ,-0.000000 ,4.681750 ,0.409600 ,-11.905400 ,-9.315480 ,11.414700 ,-0.000000 ,4.690800 ,0.742950 ,-14.054400 ,-10.700300 ,5.729270 ,1.197360 ,-7.387440 ,7.316010 ,17.104600 ,-3.992750 ,0.451970 ,12.580300 ,3.155590 ,-3.174250 ,-67.411200 ,-31.686300 ,-42.496700 ,28.363900 ,0.058079 ,0.133078 ,8.227610 ,-3.238910 ,-43.512000 ,23.533500 ,0.048188 ,0.110415 ,-1.273920 ,37.299700 ,0.091732 ,-1.197360 ,-7.387430 ,7.315910 ,-0.513742 ,2.810340 ,0.704429 ,-12.580300 ,3.155590 ,-3.174250 ,76.528600 ,8.442370 ,5.312300 ,-28.363900 ,0.058079 ,0.133078 ,-4.974600 ,-1.061970 ,24.681200 ,-23.533500 ,0.048188 ,0.110415 ,1.862260 ,-38.122900 ,4.326510 ,8.969780 ,-4.084010 ,1.973950 ,6.392240 ,-28.961300 ,-9.569930 ,-0.827718 ,-37.651500 ,-0.636250 ,-2.168450 ,8.075740 ,0.011891 ,-2.258990 ,-39.234100 ,-5.873930 ,-1.497380 ,-1.483220 ,15.243200 ,0.756579 ,-9.598720 ,12.134800 ,0.000000 ,-0.000000 ,0.000000 ,-8.969780 ,-4.084010 ,1.973950 ,-2.327990 ,-16.892400 ,21.514700 ,0.827718 ,-37.651500 ,-0.636250 ,1.334670 ,4.982420 ,0.028948 ,2.258990 ,-39.234100 ,-5.873930 ,6.348270 ,-3.531340 ,-16.292700 ,-0.756579 ,-9.598720 ,12.134800 ,0.000000 ,-0.000000 ,-0.000000
19.274600 ,90.159800 ,19.734700 ,-3.892040 ,17.140000 ,1.238940 ,0.000000 ,4.931890 ,-1.118100 ,-3.021600 ,6.794980 ,1.067140 ,0.000000 ,5.454280 ,1.040460 ,-2.896140 ,5.603260 ,0.741716 ,-0.000000 ,5.816660 ,0.111686 ,-2.659150 ,5.166190 ,0.689066 ,-0.000000 ,6.317800 ,-0.430704 ,-2.496300 ,4.413830 ,0.615345 ,-0.000000 ,7.385670 ,-1.462400 ,-2.090220 ,3.271460 ,0.953432 ,-0.000000 ,9.222880 ,-0.888062 ,-1.493060 ,2.689250 ,1.305910 ,-0.000000 ,10.246400 ,1.531330 ,-0.025323 ,0.061738 ,0.013444 ,-0.000000 ,4.648110 ,0.694664 ,-3.089680 ,7.081970 ,26.351800 ,-0.000000 ,4.681750 ,0.409600 ,-11.743900 ,-9.375180 ,11.361100 ,-0.000000 ,4.690800 ,0.742950 ,-13.857200 ,-10.677100 ,5.745180 ,1.197360 ,-7.387440 ,7.316010 ,17.201800 ,-3.923450 ,0.638082 ,12.580300 ,3.155590 ,-3.174250 ,-67.526100 ,-31.192600 ,-41.358200 ,28.363900 ,0.058079 ,0.133078 ,8.718620 ,-3.726770 ,-46.816300 ,23.533500 ,0.048188 ,0.110415 ,-1.395530 ,35.082600 ,-0.018896 ,-1.197360 ,-7.387430 ,7.315910 ,-0.701485 ,2.901450 ,0.546825 ,-12.580300 ,3.155590 ,-3.174250 ,76.606200 ,8.890480 ,5.214200 ,-28.363900 ,0.058079 ,0.133078 ,-4.908910 ,-1.032430 ,24.335200 ,-23.533500 ,0.048188 ,0.110415 ,1.997660 ,-38.440900 ,4.409720 ,8.969780 ,-4.084010 ,1.973950 ,6.676370 ,-28.852600 ,-9.139610 ,-0.827718 ,-37.651500 ,-0.636250 ,-2.169910 ,8.081140 ,0.012002 ,-2.258990 ,-39.234100 ,-5.873930 ,-1.793450 ,-1.713730 ,15.251000 ,0.756579 ,-9.598720 ,12.134800 ,0.000000 ,-0.000000 ,0.000000 ,-8.969780 ,-4.084010 ,1.973950 ,-2.859700 ,-16.699200 ,20.777800 ,0.827718 ,-37.651500 ,-0.636250 ,1.531820 ,5.716220 ,0.023375 ,2.258990 ,-39.234100 ,-5.873930 ,5.767420 ,-4.467340 ,-16.298300 ,-0.756579 ,-9.598720 ,12.134800 ,0.000000 ,-0.000000 ,-0.000000
18.504200 ,89.969500 ,19.134100 ,-3.710050 ,16.575600 ,1.462080 ,0.000000 ,4.931890 ,-1.118100 ,-2.902930 ,6.731610 ,1.072520 ,0.000000 ,5.454280 ,1.040460 ,-2.807720 ,5.552360 ,0.764323 ,-0.000000 ,5.816660 ,0.111686 ,-2.592070 ,5.115620 ,0.716569 ,-0.000000 ,6.317800 ,-0.430704 ,-2.449870 ,4.359500 ,0.646522 ,-0.000000 ,7.385670 ,-1.462400 ,-2.053830 ,3.211050 ,0.977485 ,-0.000000 ,9.222880 ,-0.888062 ,-1.462890 ,2.622870 ,1.320340 ,-0.000000 ,10.246400 ,1.531330 ,-0.024899 ,0.062906 ,0.014309 ,-0.000000 ,4.648110 ,0.694664 ,-3.033430 ,7.116270 ,25.999100 ,-0.000000 ,4.681750 ,0.409600 ,-11.484000 ,-9.455220 ,11.253400 ,-0.000000 ,4.690800 ,0.742950 ,-13.581200 ,-10.677600 ,5.842490 ,1.197360 ,-7.387440 ,7.316010 ,17.055100 ,-3.879550 ,0.652835 ,12.580300 ,3.155590 ,-3.174250 ,-68.251500 ,-30.841400 ,-40.197000 ,28.363900 ,0.058079 ,0.133078 ,9.200570 ,-4.265350 ,-50.263600 ,23.533500 ,0.048188 ,0.110415 ,-1.496480 ,33.235000 ,-0.203622 ,-1.197360 ,-7.387430 ,7.315910 ,-0.804173 ,2.966600 ,0.481266 ,-12.580300 ,3.155590 ,-3.174250 ,76.644500 ,9.340410 ,5.220450 ,-28.363900 ,0.058079 ,0.133078 ,-4.833360 ,-0.999052 ,23.938500 ,-23.533500 ,0.048188 ,0.110415 ,2.132960 ,-38.896200 ,4.430740 ,8.969780 ,-4.084010 ,1.973950 ,6.994410 ,-28.763700 ,-8.706040 ,-0.827718 ,-37.651500 ,-0.636250 ,-2.202300 ,8.200650 ,0.014502 ,-2.258990 ,-39.234100 ,-5.873930 ,-2.204870 ,-1.859770 ,15.251300 ,0.756579 ,-9.598720 ,12.134800 ,0.000000 ,-0.000000 ,0.000000 ,-8.969780 ,-4.084010 ,1.973950 ,-3.069840 ,-16.521600 ,20.152600 ,0.827718 ,-37.651500 ,-0.636250 ,1.772680 ,6.610930 ,0.013130 ,2.258990 ,-39.234100 ,-5.873930 ,5.121160 ,-5.489810 ,-16.275000 ,-0.756579 ,-9.598720 ,12.134800 ,-0.000000 ,-0.000000 ,-0.000000
17.588400 ,89.744800 ,18.494500 ,-3.446210 ,15.935500 ,1.769020 ,0.000000 ,4.931890 ,-1.118100 ,-2.795900 ,6.474810 ,1.066400 ,0.000000 ,5.454280 ,1.040460 ,-2.720290 ,5.377820 ,0.774705 ,-0.000000 ,5.816660 ,0.111686 ,-2.516460 ,5.002940 ,0.733218 ,-0.000000 ,6.317800 ,-0.430704 ,-2.384980 ,4.344770 ,0.667956 ,-0.000000 ,7.385670 ,-1.462400 ,-1.996180 ,3.256420 ,0.989313 ,-0.000000 ,9.222880 ,-0.888062 ,-1.409850 ,2.699890 ,1.316530 ,-0.000000 ,10.246400 ,1.531330 ,-0.024228 ,0.062638 ,0.015029 ,-0.000000 ,4.648110 ,0.694664 ,-2.878630 ,7.070460 ,25.178000 ,-0.000000 ,4.681750 ,0.409600 ,-10.963800 ,-9.539740 ,10.968400 ,-0.000000 ,4.690800 ,0.742950 ,-13.102400 ,-10.743100 ,5.808640 ,1.197360 ,-7.387440 ,7.316010 ,16.657800 ,-3.901040 ,0.583185 ,12.580300 ,3.155590 ,-3.174250 ,-69.043900 ,-30.259000 ,-38.951900 ,28.363900 ,0.058079 ,0.133078 ,9.589000 ,-4.751300 ,-53.228800 ,23.533500 ,0.048188 ,0.110415 ,-1.540950 ,31.664000 ,-0.424509 ,-1.197360 ,-7.387430 ,7.315910 ,-0.826868 ,2.940090 ,0.482351 ,-12.580300 ,3.155590 ,-3.174250 ,76.633900 ,9.830110 ,5.346610 ,-28.363900 ,0.058079 ,0.133078 ,-4.723590 ,-0.951655 ,23.364000 ,-23.533500 ,0.048188 ,0.110415 ,2.308930 ,-39.287400 ,4.393960 ,8.969780 ,-4.084010 ,1.973950 ,7.285720 ,-28.640200 ,-8.439130 ,-0.827718 ,-37.651500 ,-0.636250 ,-2.231020 ,8.306620 ,0.016776 ,-2.258990 ,-39.234100 ,-5.873930 ,-2.694570 ,-1.959540 ,15.242100 ,0.756579 ,-9.598720 ,12.134800 ,-0.000000 ,-0.000000 ,0.000000 ,-8.969780 ,-4.084010 ,1.973950 ,-3.170120 ,-16.264700 ,19.904100 ,0.827718 ,-37.651500 ,-0.636250 ,2.003470 ,7.466030 ,-0.000226 ,2.258990 ,-39.234100 ,-5.873930 ,4.364260 ,-6.559790 ,-16.245600 ,-0.756579 ,-9.598720 ,12.134800 ,-0.000000 ,-0.000000 ,-0.000000
16.492900 ,89.458800 ,17.849100 ,-3.110010 ,15.176300 ,2.161530 ,0.000000 ,4.931890 ,-1.118100 ,-2.756720 ,5.993200 ,1.052480 ,0.000000 ,5.454280 ,1.040460 ,-2.673770 ,5.056780 ,0.771967 ,-0.000000 ,5.816660 ,0.111686 ,-2.454060 ,4.809520 ,0.740764 ,-0.000000 ,6.317800 ,-0.430704 ,-2.306000 ,4.361030 ,0.682877 ,-0.000000 ,7.385670 ,-1.462400 ,-1.904000 ,3.406260 ,0.992198 ,-0.000000 ,9.222880 ,-0.888062 ,-1.302290 ,2.920800 ,1.288370 ,-0.000000 ,10.246400 ,1.531330 ,-0.023155 ,0.061964 ,0.015721 ,-0.000000 ,4.648110 ,0.694664 ,-2.519540 ,6.807240 ,23.260900 ,-0.000000 ,4.681750 ,0.409600 ,-9.866360 ,-9.641210 ,10.238700 ,-0.000000 ,4.690800 ,0.742950 ,-12.102400 ,-10.824700 ,5.304870 ,1.197360 ,-7.387440 ,7.316010 ,15.938800 ,-3.977390 ,0.436118 ,12.580300 ,3.155590 ,-3.174250 ,-69.696300 ,-29.212300 ,-37.538500 ,28.363900 ,0.058079 ,0.133078 ,9.879710 ,-5.151580 ,-55.585700 ,23.533500 ,0.048188 ,0.110415 ,-1.428410 ,30.471100 ,-0.633815 ,-1.197360 ,-7.387430 ,7.315910 ,-0.802915 ,2.806100 ,0.548504 ,-12.580300 ,3.155590 ,-3.174250 ,76.630100 ,10.450700 ,5.567450 ,-28.363900 ,0.058079 ,0.133078 ,-4.565800 ,-0.885795 ,22.542300 ,-23.533500 ,0.048188 ,0.110415 ,2.595610 ,-39.360500 ,4.296250 ,8.969780 ,-4.084010 ,1.973950 ,7.569370 ,-28.385000 ,-8.517540 ,-0.827718 ,-37.651500 ,-0.636250 ,-2.243090 ,8.351140 ,0.017747 ,-2.258990 ,-39.234100 ,-5.873930 ,-3.234150 ,-2.121160 ,15.214800 ,0.756579 ,-9.598720 ,12.134800 ,0.000000 ,-0.000000 ,-0.000000 ,-8.969780 ,-4.084010 ,1.973950 ,-3.133220 ,-15.781500 ,20.604300 ,0.827718 ,-37.651500 ,-0.636250 ,2.135610 ,7.954490 ,-0.009428 ,2.258990 ,-39.234100 ,-5.873930 ,3.536880 ,-7.477920 ,-16.209700 ,-0.756579 ,-9.598720 ,12.134800 ,-0.000000 ,-0.000000 ,-0.000000
15.268300 ,89.143100 ,17.254000 ,-2.710110 ,14.263900 ,2.645910 ,0.000000 ,4.931890 ,-1.118100 ,-2.745460 ,5.490480 ,1.032160 ,0.000000 ,5.454280 ,1.040460 ,-2.643650 ,4.708700 ,0.762397 ,-0.000000 ,5.816660 ,0.111686 ,-2.392180 ,4.578100 ,0.746297 ,-0.000000 ,6.317800 ,-0.430704 ,-2.212340 ,4.323970 ,0.699240 ,-0.000000 ,7.385670 ,-1.462400 ,-1.781370 ,3.499160 ,0.994279 ,-0.000000 ,9.222880 ,-0.888062 ,-1.148630 ,3.079970 ,1.247480 ,-0.000000 ,10.246400 ,1.531330 ,-0.021688 ,0.063639 ,0.016573 ,-0.000000 ,4.648110 ,0.694664 ,-2.069090 ,6.412970 ,20.555100 ,-0.000000 ,4.681750 ,0.409600 ,-8.333630 ,-9.628180 ,9.147000 ,-0.000000 ,4.690800 ,0.742950 ,-10.668400 ,-10.778600 ,4.385160 ,1.197360 ,-7.387440 ,7.316010 ,15.068900 ,-4.007930 ,0.288784 ,12.580300 ,3.155590 ,-3.174250 ,-70.477100 ,-27.640400 ,-35.984600 ,28.363900 ,0.058079 ,0.133078 ,10.084300 ,-5.455460 ,-57.330500 ,23.533500 ,0.048188 ,0.110415 ,-1.229220 ,30.596700 ,-0.854494 ,-1.197360 ,-7.387430 ,7.315910 ,-0.829957 ,2.687090 ,0.619860 ,-12.580300 ,3.155590 ,-3.174250 ,76.712000 ,11.167800 ,5.721430 ,-28.363900 ,0.058079 ,0.133078 ,-4.373490 ,-0.809085 ,21.547100 ,-23.533500 ,0.048188 ,0.110415 ,3.014880 ,-39.203200 ,4.276780 ,8.969780 ,-4.084010 ,1.973950 ,7.835130 ,-27.879100 ,-8.735900 ,-0.827718 ,-37.651500 ,-0.636250 ,-2.214870 ,8.247040 ,0.015491 ,-2.258990 ,-39.234100 ,-5.873930 ,-3.894100 ,-2.235720 ,15.163300 ,0.756579 ,-9.598720 ,12.134800 ,-0.000000 ,-0.000000 ,0.000000 ,-8.969780 ,-4.084010 ,1.973950 ,-2.980790 ,-14.902400 ,21.742500 ,0.827718 ,-37.651500 ,-0.636250 ,2.063180 ,7.686880 ,-0.004244 ,2.258990 ,-39.234100 ,-5.873930 ,2.585280 ,-8.715770 ,-16.124200 ,-0.756579 ,-9.598720 ,12.134800 ,-0.000000 ,-0.000000 ,-0.000000
